지 역,,,1975년,1976년,1977년,1978년,1979년,1980년,1981년,1982년,1983년,1984년,1985년,1986년,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,중구,,-,-,-,-,-,-,-,-,-,-,-,-,31.5,26.06,37.3,22.81,13.17,-2.65,-7.29,-0.15,0.46,0.93,-0.53,-16.87,0.73,-1.4,-0.52,0.99,0.37,0.05,-0.104,1.929,1.303,-0.087,0.016,0.845,0.601,0.877,0.694,2.234,3.172,4.209,4.619,5.408,5.491,3.65,4.171
,동구,,-,-,-,-,-,-,-,-,-,-,-,-,64.89,52.06,31.89,26.1,13.58,-5.54,-8.87,0.57,0.45,1.72,0.3,-14.5,2.54,-1.47,0.12,1.82,1.4,1.85,4.881,6.483,3.488,-0.567,0.18,1.868,2.693,2.607,2.186,3.237,4.244,3.712,4.546,4.918,4.916,3.581,4.254
,서구,,-,-,-,-,-,-,-,-,-,-,-,-,80.97,32.26,43.05,28.85,16.93,-1.71,-8.59,-0.3,0.49,0.31,-2.11,-15.61,1.12,-1.18,-0.2,2.01,0.88,1.65,1.416,1.412,1.332,-0.523,0.025,0.789,0.664,1.116,1.347,2.504,3.637,3.544,4.304,4.877,4.405,3.507,4.414
,남구,,-,-,-,-,-,-,-,-,-,-,-,-,47.39,42.71,38.31,20.88,13.19,-2.03,-6.8,0.2,0.58,0.72,0.07,-15.66,1.16,-1.36,0.09,0.27,0.07,0.28,0.979,2.248,2.178,-0.439,0.334,0.804,0.531,0.657,0.752,2.217,4.124,4.203,3.837,4.295,5.248,3.577,3.532
,북구,,-,-,-,-,-,-,-,-,-,-,-,-,66.84,37.19,33.42,27.23,17.84,-1.84,-8.88,0.95,1,1.06,0.51,-14.66,1.89,-1.02,1.01,1.34,1.91,1.91,2.617,4.205,2.209,-1.318,0.042,1.001,0.776,1.127,1.697,2.807,3.815,3.704,4.378,4.092,3.796,3.059,3.752
,수성구,,-,-,-,-,-,-,-,-,-,-,-,-,77.11,43.97,36.69,31.43,8.97,-2.97,-5.22,2.7,1.27,1.01,-1.43,-15.09,2.62,-1.4,0.42,4.19,2.96,1.62,4.345,4.213,2.826,-0.182,0.104,1.113,0.824,1.371,1.552,3.229,4.428,4.405,5.537,7.168,6.53,4.589,6.672
,달서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,38.48,31.29,31.2,12.96,0.25,-8.99,0.65,0.86,0.33,-1.9,-13.78,1.84,-0.7,0.91,2.22,1.42,1.35,5.103,5.36,3.675,-1.341,0.118,1.282,1.465,1.569,1.551,3.08,3.794,3.519,4.381,4.495,3.559,3.488,3.895
,달성군,,-,-,-,-,-,-,-,-,-,-,-,-,69.21,33.75,19.21,16.13,15.78,-0.34,-7.78,1.87,7,3.34,-0.27,-17.93,3.08,0,0.64,2.79,2.13,3.6,4.238,4.976,5.062,1.921,1.662,3.165,2.982,2.561,2.61,4.712,4.731,4.397,4.231,4.179,3.145,1.56,2.888
(구)대구직할시,,,13.59,21.21,33.01,51.5,82.62,12.64,4.05,1.3,7,6.9,6.6,5.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)중구,,-,-,-,-,-,-,-,3.6,5.8,5,5.8,6.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)동구,,-,-,-,-,-,-,-,1.9,5.8,5.6,7.5,5.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)서구,,-,-,-,-,-,-,-,2.3,8.4,11.8,6.8,5.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)남구,,-,-,-,-,-,-,-,0.5,5.3,5.5,5.4,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)북구,,-,-,-,-,-,-,-,0.6,10.6,8.1,8.1,5.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)수성구,,-,-,-,-,-,-,-,1.4,6.1,5.2,4.2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)달서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,,,-,-,-,-,-,-,-,-,-,-,-,-,6.9,16.11,46.72,29.14,22.81,0.11,-6.62,0.07,0.58,0.78,0.28,-13.79,3.51,1.07,1.77,11.51,2.5,4.32,4.937,5.58,4.851,1.366,1.987,1.434,0.658,0.464,0.87,1.35,1.951,1.737,3.098,3.588,4.03,3.762,4.099
,중구,,-,-,-,-,-,-,-,-,-,-,-,-,6.79,15.3,106.1,21.07,11.66,6.02,-4.95,1,1.57,1.59,1.22,-11.24,5.28,5.59,2.63,14.73,2.42,5.49,7.455,8.331,6.996,1.465,0.967,0.507,0.349,-0.937,-0.225,2.543,2.236,1.848,2.421,2.64,3.106,3.317,3.435
,동구,,-,-,-,-,-,-,-,-,-,-,-,-,6.2,14.76,26.85,29.32,10.56,-0.72,-7.17,0.08,0.31,0.71,0.34,-14.1,4.22,0.54,1.74,9.26,1.88,4.21,4.848,5.272,5.089,1.149,1.923,1.634,0.638,-0.148,0.51,1.695,1.127,1.498,2.205,2.659,2.261,2.712,3.2
